id,name,slug,category,subcategory,brand,sku,mrp,selling_price,discount_amount,stock,weight,warranty,shipping,country_of_origin,rating,reviews,featured,status,supplier,main_image,img2,img3,img4,img5,img6,short_description,description,specifications,tags
1,Apple iPhone 15,apple-iphone-15,Electronics,Mobile Phones,Apple,APL-IP15-128,99999,89999,5000,25,0.45,1 Year,0,India,4.8,3245,Yes,Active,Apple Distributor,https://images.unsplash.com/photo-1695048133142-1a20484d2569,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,,,,,Latest iPhone with A16 chip,Premium Apple smartphone,128GB|A16 Chip|48MP Camera,mobile iphone apple
2,Samsung Galaxy S25,samsung-galaxy-s25,Electronics,Mobile Phones,Samsung,SAM-S25-256,109999,96999,3000,15,0.48,1 Year,0,India,4.7,1820,Yes,Active,Samsung Distributor,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf,https://images.unsplash.com/photo-1580910051074-3eb694886505,,,,,Flagship Samsung phone,Premium Android smartphone,256GB|AMOLED|AI Camera,samsung android mobile
3,HP Pavilion Laptop,hp-pavilion-laptop,Electronics,Laptops,HP,HP-PAV-15,69999,62999,2000,12,1.8,1 Year,0,India,4.5,980,Yes,Active,HP India,https://images.unsplash.com/photo-1496181133206-80ce9b88a853,,,,,,Laptop for work and study,Intel laptop,16GB RAM|512 SSD|i5,laptop hp computer
4,Dell Inspiron Laptop,dell-inspiron-laptop,Electronics,Laptops,Dell,DEL-INS-15,75999,68999,2000,8,1.9,1 Year,0,India,4.4,642,No,Active,Dell India,https://images.unsplash.com/photo-1517336714739-489689fd1ca8,,,,,,Reliable business laptop,Dell productivity laptop,16GB RAM|512 SSD,laptop dell
5,Sony Bluetooth Headphones,sony-bluetooth-headphones,Electronics,Audio,Sony,SNY-WH1000,29999,24999,1000,20,0.3,1 Year,0,China,4.8,2350,Yes,Active,Sony India,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,,,,,,Noise cancelling headphones,Premium audio experience,Bluetooth|ANC|30 Hours,audio headphones sony
6,Boat Airdopes 141,boat-airdopes-141,Electronics,Earbuds,Boat,BOAT-141,1999,1299,200,150,0.1,1 Year,0,India,4.3,10234,Yes,Active,Boat Distributor,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f37,,,,,,Affordable earbuds,Popular TWS earbuds,42 Hours Battery,boat earbuds
7,LG 1.5 Ton AC,lg-1-5-ton-ac,Home Appliances,Air Conditioners,LG,LG-AC15,52999,44999,3000,10,35,1 Year,0,India,4.6,850,Yes,Active,LG Distributor,https://images.unsplash.com/photo-1631049307264-da0ec9d70304,,,,,,Inverter AC,Energy efficient cooling,5 Star|Dual Inverter,ac lg cooling
8,Voltas Air Cooler,voltas-air-cooler,Home Appliances,Coolers,Voltas,VOL-COOL-90,12999,9999,500,20,12,1 Year,0,India,4.2,330,No,Active,Voltas Dealer,https://images.unsplash.com/photo-1585771724684-38269d6639fd,,,,,,Large desert cooler,High air delivery cooler,90L Tank,cooler voltas
9,Samsung 55 Inch Smart TV,samsung-55-smart-tv,Electronics,Television,Samsung,SAM-TV55,64999,54999,2000,6,12,1 Year,0,India,4.7,1200,Yes,Active,Samsung India,https://images.unsplash.com/photo-1593784991095-a205069470b6,,,,,,4K Smart TV,Ultra HD television,55 Inch|4K|Smart,tv samsung
10,Whirlpool Refrigerator,whirlpool-refrigerator,Home Appliances,Refrigerator,Whirlpool,WHR-265L,32999,27999,1000,7,48,1 Year,0,India,4.4,455,No,Active,Whirlpool India,https://images.unsplash.com/photo-1571172964276-91faaa704e1d,,,,,,Double door fridge,Energy efficient refrigerator,265L Capacity,refrigerator whirlpool
11,Nike Running Shoes,nike-running-shoes,Fashion,Footwear,Nike,NKE-RUN-01,6999,4999,500,40,0.8,No Warranty,0,Vietnam,4.6,2200,Yes,Active,Nike Distributor,https://images.unsplash.com/photo-1542291026-7eec264c27ff,,,,,,Comfortable running shoes,Sports footwear,Lightweight Mesh,nike shoes
12,Adidas Sneakers,adidas-sneakers,Fashion,Footwear,Adidas,ADD-SNK-01,7999,5999,500,30,0.9,No Warranty,0,Vietnam,4.5,1800,No,Active,Adidas Distributor,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,,,,,,Casual sneakers,Stylish sneakers,Rubber Sole,adidas shoes
13,Levis Jeans,levis-jeans,Fashion,Men Clothing,Levis,LEV-JNS-32,2999,1999,200,60,0.5,No Warranty,0,India,4.3,1300,No,Active,Levis India,https://images.unsplash.com/photo-1542272604-787c3835535d,,,,,,Slim fit jeans,Comfortable denim,Cotton Blend,jeans levis
14,Women Kurti,women-kurti,Fashion,Women Clothing,Biba,BIBA-KRT-01,1999,999,100,80,0.4,No Warranty,0,India,4.4,780,No,Active,Biba Distributor,https://images.unsplash.com/photo-1529139574466-a303027c1d8b,,,,,,Traditional kurti,Printed ethnic wear,Cotton Fabric,kurti women
15,Casio Watch,casio-watch,Fashion,Watches,Casio,CAS-WT01,4999,3499,200,35,0.2,1 Year,0,Japan,4.5,950,No,Active,Casio Dealer,https://images.unsplash.com/photo-1524805444758-089113d48a6d,,,,,,Classic wrist watch,Durable watch,Water Resistant,watch casio
16,Maybelline Lipstick,maybelline-lipstick,Beauty,Makeup,Maybelline,MAY-LIP01,499,349,50,120,0.05,No Warranty,0,India,4.4,3400,Yes,Active,Beauty Supplier,https://images.unsplash.com/photo-1586495777744-4413f21062fa,,,,,,Long lasting lipstick,Matte finish lipstick,12 Hour Wear,lipstick makeup
